PROVINCIAS,CANTONES,DPA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
LOS RIOS,VENTANAS,1207,69032,69737,70425,71093,71739,72363,72964,73544,74100,74634,75146,75635,76104,76551,76976,77379,77759,78115,78446,78753,79036
LOS RIOS,VINCES,1208,74358,75245,76116,76969,77801,78611,79398,80165,80908,81630,82329,83006,83662,84297,84909,85498,86064,86605,87120,87610,88073
LOS RIOS,PALENQUE,1209,23216,23297,23370,23434,23490,23536,23573,23602,23623,23634,23638,23633,23621,23602,23574,23540,23498,23448,23390,23326,23253
LOS RIOS,BUENA FE,1210,65052,66820,68615,70429,72263,74115,75988,77878,79784,81709,83654,85612,87589,89583,91596,93622,95660,97712,99778,101851,103932
LOS RIOS,VALENCIA,1211,43899,44944,46001,47063,48131,49204,50283,51365,52451,53541,54637,55733,56835,57939,59048,60157,61267,62377,63487,64595,65700
LOS RIOS,MOCACHE,1212,39824,40228,40621,41004,41373,41729,42072,42403,42720,43025,43316,43595,43861,44115,44356,44585,44800,45002,45189,45362,45521
LOS RIOS,QUINSALOMA,1213,17021,17364,17707,18050,18393,18735,19076,19416,19754,20092,20428,20762,21096,21428,21758,22086,22412,22735,23056,23373,23687
MANABI,PORTOVIEJO,1301,290199,293850,297417,300878,304227,307463,310582,313576,316444,319185,321800,324289,326642,328868,330958,332915,334736,336418,337958,339360,340615
MANABI,BOLIVAR,1302,42266,42671,43060,43432,43785,44119,44434,44729,45004,45258,45493,45709,45904,46079,46234,46369,46484,46578,46652,46707,46740
MANABI,CHONE,1303,131674,131893,132051,132148,132178,132144,132041,131877,131649,131358,131002,130592,130121,129596,129010,128374,127684,126942,126145,125303,124410
MANABI,EL CARMEN,1304,91918,93900,95884,97861,99828,101784,103731,105660,107572,109466,111344,113201,115033,116844,118632,120392,122124,123827,125500,127138,128740
MANABI,FLAVIO ALFARO,1305,26122,25939,25745,25540,25325,25099,24862,24615,24360,24095,23822,23541,23253,22959,22656,22349,22036,21719,21395,21068,20736
MANABI,JIPIJAPA,1306,73951,74182,74378,74540,74665,74754,74804,74819,74797,74739,74645,74519,74358,74165,73936,73678,73388,73067,72714,72332,71921
MANABI,JUNIN,1307,19754,19701,19639,19569,19488,19399,19300,19193,19077,18953,18820,18680,18532,18377,18215,18047,17872,17692,17504,17312,17115
MANABI,MANTA,1308,234547,237878,241151,244348,247463,250495,253441,256293,259052,261713,264281,266750,269116,271382,273545,275603,277553,279394,281123,282741,284240
MANABI,MONTECRISTI,1309,71947,75075,78312,81641,85068,88597,92234,95965,99798,103735,107785,111933,116186,120547,125026,129603,134288,139082,143994,149004,154119
MANABI,PAJAN,1310,38650,38575,38482,38372,38243,38096,37929,37746,37546,37328,37093,36844,36580,36301,36007,35701,35382,35050,34704,34349,33982
MANABI,PICHINCHA,1311,31560,31427,31279,31118,30942,30752,30546,30329,30098,29855,29599,29333,29055,28767,28468,28161,27845,27521,27186,26846,26498
MANABI,ROCAFUERTE,1312,34730,35056,35369,35668,35951,36219,36470,36705,36924,37127,37312,37482,37635,37772,37891,37995,38082,38153,38206,38244,38264
MANABI,SANTA ANA,1313,49367,49352,49313,49251,49165,49055,48920,48763,48582,48379,48152,47907,47640,47353,47046,46721,46379,46018,45638,45244,44833
MANABI,SUCRE,1314,59364,59795,60201,60582,60934,61258,61553,61819,62056,62264,62443,62595,62718,62813,62878,62918,62929,62912,62867,62795,62696
MANABI,TOSAGUA,1315,39804,40133,40447,40744,41023,41283,41524,41746,41949,42133,42297,42443,42570,42678,42766,42837,42888,42920,42933,42928,42904
MANABI,24 DE MAYO,1316,30088,29992,29882,29759,29622,29471,29305,29126,28935,28731,28514,28287,28048,27800,27539,27271,26993,26706,26409,26106,25794
MANABI,PEDERNALES,1317,57127,57854,58565,59255,59924,60570,61193,61792,62367,62917,63441,63941,64415,64863,65285,65681,66050,66392,66706,66993,67250
MANABI,OLMEDO,1318,10247,10264,10276,10284,10286,10283,10275,10262,10244,10222,10194,10162,10125,10084,10038,9989,9935,9877,9815,9749,9679
MANABI,PUERTO LOPEZ,1319,21149,21525,21899,22267,22631,22989,23342,23689,24028,24361,24688,25006,25317,25621,25917,26204,26483,26753,27014,27266,27507
MANABI,JAMA,1320,24121,24367,24603,24830,25047,25252,25448,25632,25804,25966,26116,26255,26382,26498,26603,26696,26778,26849,26907,26954,26989
MANABI,JARAMIJO,1321,18918,19747,20606,21489,22399,23336,24302,25294,26313,27361,28439,29543,30676,31839,33033,34254,35505,36785,38097,39436,40804
MANABI,SAN VICENTE,1322,22845,23083,23314,23535,23746,23948,24139,24320,24491,24650,24799,24938,25066,25183,25289,25384,25469,25543,25605,25657,25697
MORONA SANTIAGO,MORONA,1401,42479,44016,45570,47137,48712,50292,51880,53475,55075,56679,58281,59883,61483,63083,64679,66267,67849,69426,70999,72565,74123
MORONA SANTIAGO,GUALAQUIZA,1402,17881,18113,18331,18537,18727,18901,19060,19206,19338,19455,19555,19643,19716,19775,19820,19852,19871,19877,19871,19854,19826
MORONA SANTIAGO,LIMON INDANZA,1403,10159,10218,10268,10310,10342,10365,10377,10383,10380,10369,10349,10322,10287,10245,10196,10140,10078,10010,9936,9857,9774
MORONA SANTIAGO,PALORA,1404,7234,7310,7380,7444,7502,7553,7598,7637,7671,7698,7719,7735,7744,7749,7747,7741,7729,7712,7691,7666,7636
MORONA SANTIAGO,SANTIAGO,1405,9665,9837,10004,10164,10317,10463,10601,10734,10859,10977,11087,11189,11284,11373,11453,11526,11592,11651,11704,11749,11789
MORONA SANTIAGO,SUCUA,1406,18977,19490,19999,20504,21002,21491,21973,22449,22916,23375,23823,24261,24689,25107,25514,25910,26294,26667,27030,27382,27722
MORONA SANTIAGO,HUAMBOYA,1407,8726,9072,9424,9781,10142,10507,10875,11247,11622,12001,12382,12765,13150,13538,13927,14317,14709,15101,15495,15890,16286
MORONA SANTIAGO,SAN JUAN BOSCO,1408,4052,4153,4253,4352,4448,4543,4635,4726,4815,4901,4985,5067,5146,5222,5296,5368,5436,5502,5566,5627,5686
MORONA SANTIAGO,TAISHA,1409,19010,19749,20500,21260,22028,22802,23584,24373,25168,25968,26773,27581,28392,29207,30024,30842,31661,32482,33305,34129,34953
