Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
642,Romania,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","247,994.30","204,473.46","191,274.11","182,090.01","180,133.16","187,227.78","189,592.38","184,139.93","166,852.83","147,899.99","143,154.46","146,187.17","148,897.93","153,779.79","152,551.97","151,387.14","152,110.74","154,670.41","149,918.10","128,031.30","124,173.34","129,010.35","125,638.73","116,001.00","116,214.83","116,418.66","114,287.85","116,875.47","116,115.12",2018,116115.12,-53.18,5.95
643,Russian Federation,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","3,187,507.08","3,024,887.55","2,537,506.16","2,399,711.49","2,137,226.57","2,084,988.22","2,029,941.37","1,912,753.07","1,879,354.90","1,905,174.11","1,901,067.27","1,942,384.53","1,924,360.11","1,959,432.50","1,974,435.64","1,995,073.02","2,057,942.51","2,059,557.10","2,098,480.69","1,961,217.41","2,057,878.02","2,119,644.44","2,147,996.18","2,092,550.41","2,094,363.54","2,094,011.75","2,098,138.55","2,155,270.61","2,220,122.95",2018,2220122.95,-30.35,15.23
646,Rwanda,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,...,...,"2,381.07",...,...,"6,180.08",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,6180.08,...,0.70
659,Saint Kitts and Nevis,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,164.41,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,164.41,...,3.95
662,Saint Lucia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,886.07,...,...,...,...,...,493.63,...,...,...,...,546.14,...,...,...,...,647.60,...,...,...,...,...,...,...,...,2010,647.60,...,3.72
670,Saint Vincent and the Grenadines,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",392.18,...,...,...,379.57,...,...,410.40,...,...,295.12,...,...,...,381.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,381.02,-2.84,3.51
882,Samoa,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,560.83,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,560.83,...,3.32
674,San Marino,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,237.45,...,...,267.27,...,...,...,...,...,...,...,...,2010,267.27,...,8.56
678,Sao Tome and Principe,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,88.17,...,...,...,...,...,...,102.29,...,...,...,...,...,...,153.42,...,...,...,...,...,...,2012,153.42,...,0.81
682,Saudi Arabia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","165,268.97",...,...,...,...,...,...,...,...,...,"296,059.87",...,...,...,...,...,...,...,...,...,"525,332.15",...,"548,262.55",...,...,...,...,...,...,2012,548262.55,231.74,18.81
